musica,generos
nada mais - ao vivo,gospel
amar como você - ao vivo,gospel
aba - ao vivo,gospel
me espera,mpb;pop
rede ao mar,n/a
surrounded by you,n/a
meus votos - ao vivo,gospel;reggae
seasons,pop
é tudo sobre você - ao vivo,gospel;reggae
touch the sky,hip hop;rap
marigold - demo,metal
harunohi,j-pop;pop
everyday is like sunday - 2006 remaster,pop;rock
ライラック,anime;j-pop;j-rock;pop;rock
forgiveness,pop
supernatural,k-pop;pop
"how sweet, thanks new jeans",n/a
fake it,alt;metal;rock
bubble gum,indie;pop
just pretend,metal
ditto,k-pop;pop
"dificil, mas eu gosto assim",n/a
pontos de exclamação - vintage culture & future class remix,indie
rock with you - single version,r&b;soul
if you see kay,pop;rock
laços de amor (feat. greta lira),n/a
sinais - ao vivo,pagode;sertanejo
mona lisa (spider-man: across the spider-verse),alt;indie;pop;rock
vim para adorar-te,gospel;rock
ao lembrarmos - ao vivo,gospel
guarda o teu coração,n/a
canção do apocalipse - ao vivo,gospel
toda dor é por enquanto - ao vivo,gospel
esperar é caminhar - ao vivo,gospel
from the start,singer-songwriter
juna,indie;pop
terrapin,indie;pop
open my door,alt
espresso,pop
last train at 25 o'clock,alt;pop
old with you,r&b
room for you,r&b
rei dos reis - ao vivo,gospel
coração igual ao teu - ao vivo,gospel
night dancer,pop
pedro - ao vivo,gospel;rock
classical dragon (feat. tim henson),n/a
spell,k-pop;pop
ursinho pimpão - instrumental,n/a
(they long to be) close to you,rock
how deep is your love,edm;pop
_world,k-pop;pop
última dança,mpb;r&b
lisboa,folk;mpb;pop
palco,bossa nova;mpb;samba
aquarela do brasil (participação especial de gilberto gil e caetano veloso),bossa nova;jazz;samba
flor de lis,mpb
give me jesus / closer,n/a
mais que canções + espontâneo - acoustic session,gospel
coastline,folk;indie
when scars become art,singer-songwriter
like gold,folk;k-pop;pop;rock
paranóias,rap;trap
blue,pop
survival,hip hop;rap
starlight,n/a
levitating (feat. dababy),pop
mamushi (feat. yuki chiba),pop;rap;trap
vampire,pop
pop!,k-pop;pop
it's going down now,n/a
paint the town red,pop
innerbloom,indie;pop
ouvindo periclão,n/a
les ballas,funk;rap;trap
deixar levar,n/a
vida de artista,funk
by the water,n/a
perfect peace,n/a
stick season,indie;pop;singer-songwriter
